,,,,,,EC,EC,METRO,METRO,EC,METRO,METRO,EC,,METRO,METRO,METRO,METRO,EC,METRO,METRO,METRO,,METRO,METRO,METRO,METRO,METRO,EC,,METRO,METRO,METRO,EC,METRO,METRO,,METRO,METRO,EC,EC,METRO,METRO,,METRO,METRO,METRO,METRO,,METRO,METRO,METRO,EC,,EC,METRO,METRO,EC,EC,EC,EC,EC,,EC,EC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MABOPANE,MBP,,A,,,,,04:45,,04:52,05:00,,,05:12,,05:55,06:05,,06:36,06:51,06:56,,,07:10,07:26,07:51,08:13,08:52,,09:06,09:12,,09:42,10:05,11:05,,11:25,,,,13:05,13:15,,13:45,13:50,,16:05,,16:10,,16:19,16:52,,17:58,,18:34,19:05,19:15,,19:30,20:05,,,20:45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,|PD||START|,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,8",SOSHANGUVE,SGU,,A,,,,,04:49,,04:56,05:04,,,05:16,,05:59,06:09,,06:40,06:55,07:00,,,07:14,07:30,07:55,08:17,,,09:10,09:16,,,10:09,11:09,,11:29,,,,13:09,13:19,,13:49,13:54,,16:09,,16:14,,16:23,,,,,18:38,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,|PD|,,D,,,,,04:49,,04:55,05:03,,,05:16,,05:59,06:08,,06:40,06:54,07:00,,,07:13,07:30,07:54,08:16,08:55,,09:10,09:15,,09:45,10:08,11:08,,11:29,,,,13:08,13:18,,13:49,13:53,,16:08,,16:13,,16:23,16:55,,18:02,,18:38,19:08,19:19,,19:33,20:08,,,20:48
"12,25",KOPANONG,KOP,,A,,,,,04:59,,05:05,05:13,,,05:26,,06:08,06:18,,06:50,07:04,07:09,,,07:23,07:40,08:04,08:26,,,09:19,09:25,,,10:18,11:18,,11:39,,,,13:18,13:28,,13:58,14:03,,16:18,,16:23,,16:33,,,,,18:47,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,|PD|,,D,,,,,04:58,,05:04,05:12,,,05:25,,06:08,06:17,,06:49,07:03,07:09,,,07:22,07:39,08:03,08:25,09:00,,09:19,09:24,,09:50,10:17,11:17,,11:38,,,,13:17,13:27,,13:58,14:02,,16:17,,16:22,,16:32,17:00,,18:08,,18:47,19:13,19:25,,19:38,20:13,,,20:53
"19,46",AKASIABOOM,AKB,,A,,,,,05:04,,05:10,05:18,,,05:31,,06:14,06:23,,06:55,07:09,07:15,,,07:28,07:45,08:09,08:31,,,09:25,09:30,,,10:23,11:23,,11:44,,,,13:23,13:33,,14:04,14:08,,16:23,,16:28,,16:38,,,,,18:53,,,,,,,,
