De Wildt/Mabopane                                                                                                                                                                                
Sunday                                                                                                                                                                                           
Train No.          9500   9410   9600   9318   9502   9420   9504   9602   9400   9302   9508   9604   9402   9512   9306   9514   9404   9608   9516   9518   9406   9310   9610   9522   9408  
                    M01    M05    M03    M04    M02    M08    M01    M03    M05    M04    M01    M03    M05    M01    M04    M02    M05    M03    M01    M02    M05    M04    M03    M02    M05  
                                                                                                                                                                                                 
                                                                                                                                                                                                 
                   METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO  METRO 
                                                                                                                                                                                                 
                                                                                                                                                                                                 
                                                                                                                                                                                                 
DE WILDT                  05:30                       06:30                08:21                       10:36                       13:05                       15:29                       18:40 
                                                                                                                                                                                                 
                                                                                                                                                                                                 
TAILLARDSHOOP             05:34                       06:34                08:25                       10:40                       13:09                       15:33                       18:44 
                                                                                                                                                                                                 
                          05:34                       06:34                08:25                       10:40                       13:09                       15:33                       18:14 
GA-RANKUWA                05:37                       06:37                08:28                       10:43                       13:12                       15:36                       18:47 
                                                                                                                                                                                                 
                          05:37                       06:37                08:28                       10:43                       13:12                       15:36                       18:17 
MEDUNSA                   05:41                       06:41                08:32                       10:47                       13:16                       15:40                       18:51 
                                                                                                                                                                                                 
                          05:41                       06:41                08:32                       10:47                       13:16                       15:40                       18:21 
LYNROSS                   05:48                       06:48                08:39                       10:54                       13:23                       15:47                       18:58 
                                                                                                                                                                                                 
                          05:48                       06:48                08:39                       10:54                       13:23                       15:47                       18:28 
ROSSLYN                   05:50                       06:50                08:41                       10:56                       13:25                       15:49                       19:00 
                                                                                                                                                                                                 
                          05:51                       06:51                08:42                       10:57                       13:26                       15:50                       18:31 
MABOPANE           05:09         06:00  06:10  06:19         07:22  08:02         09:25  09:37  10:05         11:50  12:25  12:50         13:55  14:00  15:00         15:35  16:00  17:10        
                                                                                                                                                                                                 
                                                                                                                                                                                                 
SOSHANGUVE         05:13         06:03  06:14  06:23         07:26  08:05         09:28  09:41  10:08         11:54  12:28  12:54         13:58  14:04  15:04         15:38  16:03  17:14        
                                                                                                                                                                                                 
                   05:12         06:03  06:13  06:22         07:25  08:05         09:28  09:40  10:08         11:53  12:28  12:53         13:58  14:03  15:03         15:38  16:03  17:13        
KOPANONG           05:22         06:12  06:23  06:32         07:35  08:14         09:37  09:50  10:17         12:03  12:37  13:03         14:07  14:13  15:13         15:47  16:12  17:23        
                                                                                                                                                                                                 
